id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
-0iLH7iQNYtoURciDpJf6w,le-comptoir-de-la-gastronomie-paris,Le Comptoir de la Gastronomie,https://s3-media3.fl.yelpcdn.com/bphoto/xT4YkCm_cZWbKbz9AVEnaA/o.jpg,False,https://www.yelp.com/biz/le-comptoir-de-la-gastronomie-paris?adjust_creative=lWGeH-LEHLA63JYPiK7UGw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lWGeH-LEHLA63JYPiK7UGw,1240,"[{'alias': 'french', 'title': 'French'}]",4.5,"{'latitude': 48.8645157999652, 'longitude': 2.34540185646608}",[],€€,"{'address1': '34 rue Montmartre', 'address2': '', 'address3': '', 'city': 'Paris', 'zip_code': '75001', 'country': 'FR', 'state': '75', 'display_address': ['34 rue Montmartre', '75001 Paris', 'France']}",+33142333132,+33 1 42 33 31 32,370.8275165771047
IU9_wVOGBKjfqTTpAXpKcQ,bistro-des-augustins-paris,Bistro des Augustins,https://s3-media2.fl.yelpcdn.com/bphoto/ctHDHMiqeUGs8Zcj71nk7g/o.jpg,False,https://www.yelp.com/biz/bistro-des-augustins-paris?adjust_creative=lWGeH-LEHLA63JYPiK7UGw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lWGeH-LEHLA63JYPiK7UGw,471,"[{'alias': 'bistros', 'title': 'Bistros'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"{'latitude': 48.854754, 'longitude': 2.342119}",[],€€,"{'address1': '39 quai des Grands Augustins', 'address2': None, 'address3': None, 'city': 'Paris', 'zip_code': '75006', 'country': 'FR', 'state': '75', 'display_address': ['39 quai des Grands Augustins', '75006 Paris', 'France']}",+33143540441,+33 1 43 54 04 41,801.1176096949143
cEjF41ZQB8-SST8cd3EsEw,l-avant-comptoir-paris-3,L'Avant Comptoir,https://s3-media3.fl.yelpcdn.com/bphoto/mVwgxgmpUcAUOZKdxypwSw/o.jpg,False,https://www.yelp.com/biz/l-avant-comptoir-paris-3?adjust_creative=lWGeH-LEHLA63JYPiK7UGw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lWGeH-LEHLA63JYPiK7UGw,649,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"{'latitude': 48.85202, 'longitude': 2.3388}",[],€€,"{'address1': ""3 carrefour de l'Odéon"", 'address2': '', 'address3': '', 'city': 'Paris', 'zip_code': '75006', 'country': 'FR', 'state': '75', 'display_address': [""3 carrefour de l'Odéon"", '75006 Paris', 'France']}",+33142384755,+33 1 42 38 47 55,1131.3338874175195
wLgAxIB7111BcWLWh7KpFw,la-régalade-paris-3,La Régalade,https://s3-media3.fl.yelpcdn.com/bphoto/f_-XgglSakd5zM2oVaJQrg/o.jpg,False,https://www.yelp.com/biz/la-r%C3%A9galade-paris-3?adjust_creative=lWGeH-LEHLA63JYPiK7UGw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lWGeH-LEHLA63JYPiK7UGw,101,"[{'alias': 'french', 'title': 'French'}]",4.5,"{'latitude': 48.8616441182389, 'longitude': 2.34201570904084}",[],€€€,"{'address1': '106 rue Saint-Honoré', 'address2': '', 'address3': '', 'city': 'Paris', 'zip_code': '75001', 'country': 'FR', 'state': '75', 'display_address': ['106 rue Saint-Honoré', '75001 Paris', 'France']}",+33142219240,+33 1 42 21 92 40,36.280480383292954
WHHt_Jb8Tgidn9mW7oDnIg,la-coïncidence-paris-4,La Coïncidence,https://s3-media2.fl.yelpcdn.com/bphoto/5O4QPnGAVbCxHELVks8vqw/o.jpg,False,https://www.yelp.com/biz/la-co%C3%AFncidence-paris-4?adjust_creative=lWGeH-LEHLA63JYPiK7UGw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lWGeH-LEHLA63JYPiK7UGw,509,"[{'alias': 'french', 'title': 'French'}]",4.5,"{'latitude': 48.868105, 'longitude': 2.284365}",[],€€,"{'address1': '15 rue Mesnil', 'address2': '', 'address3': '', 'city': 'Paris', 'zip_code': '75116', 'country': 'FR', 'state': '75', 'display_address': ['15 rue Mesnil', '75116 Paris', 'France']}",+33147559644,+33 1 47 55 96 44,4281.588159098756
-umFmobUgpW_05m_ud1vHw,la-cordonnerie-paris-5,La Cordonnerie,https://s3-media1.fl.yelpcdn.com/bphoto/IeTa4jNQx-Cg3GgLOd2VZQ/o.jpg,False,https://www.yelp.com/biz/la-cordonnerie-paris-5?adjust_creative=lWGeH-LEHLA63JYPiK7UGw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lWGeH-LEHLA63JYPiK7UGw,92,"[{'alias': 'french', 'title': 'French'}]",4.5,"{'latitude': 48.86543, 'longitude': 2.33237}",[],€€€,"{'address1': '20 rue Saint Roch', 'address2': None, 'address3': None, 'city': 'Paris', 'zip_code': '75001', 'country': 'FR', 'state': '75', 'display_address': ['20 rue Saint Roch', '75001 Paris', 'France']}",+33142601742,+33 1 42 60 17 42,811.3762476895778
FFz-WusZrBYZexKqhqzCkg,l-as-du-fallafel-paris,L'As du Fallafel,https://s3-media1.fl.yelpcdn.com/bphoto/rxDnJCfkAtIpRo_4QNmt9Q/o.jpg,False,https://www.yelp.com/biz/l-as-du-fallafel-paris?adjust_creative=lWGeH-LEHLA63JYPiK7UGw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lWGeH-LEHLA63JYPiK7UGw,1920,"[{'alias': 'kosher', 'title': 'Kosher'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'falafel', 'title': 'Falafel'}]",4.5,"{'latitude': 48.857498, 'longitude': 2.35908}",[],€€,"{'address1': '34 rue des Rosiers', 'address2': '', 'address3': '', 'city': 'Paris', 'zip_code': '75004', 'country': 'FR', 'state': '75', 'display_address': ['34 rue des Rosiers', '75004 Paris', 'France']}",+33148876360,+33 1 48 87 63 60,1334.296841418717
ijqSzadlZ9SCXvUEpMimcA,angelina-paris,Angelina,https://s3-media1.fl.yelpcdn.com/bphoto/LRnBdOHVdTY_pVGccxu9sg/o.jpg,False,https://www.yelp.com/biz/angelina-paris?adjust_creative=lWGeH-LEHLA63JYPiK7UGw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lWGeH-LEHLA63JYPiK7UGw,1498,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}]",4.0,"{'latitude': 48.865092, 'longitude': 2.328464}",[],€€€,"{'address1': '226 rue de Rivoli', 'address2': None, 'address3': None, 'city': 'Paris', 'zip_code': '75001', 'country': 'FR', 'state': '75', 'display_address': ['226 rue de Rivoli', '75001 Paris', 'France']}",+33142608200,+33 1 42 60 82 00,1059.8775176567408
ctP4c3mwVO5oOzLI48LtuQ,les-antiquaires-paris,Les Antiquaires,https://s3-media3.fl.yelpcdn.com/bphoto/_4TQ2e-kOpyGCwehxxB4NQ/o.jpg,False,https://www.yelp.com/biz/les-antiquaires-paris?adjust_creative=lWGeH-LEHLA63JYPiK7UGw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lWGeH-LEHLA63JYPiK7UGw,437,"[{'alias': 'bistros', 'title': 'Bistros'}]",4.5,"{'latitude': 48.8580664639432, 'longitude': 2.32823697067099}",[],€€€,"{'address1': '13 rue du Bac', 'address2': '', 'address3': '', 'city': 'Paris', 'zip_code': '75007', 'country': 'FR', 'state': '75', 'display_address': ['13 rue du Bac', '75007 Paris', 'France']}",+33142610836,+33 1 42 61 08 36,1105.8560284268087
pztzge22A_c_BfzLHCmaMw,le-bistro-du-périgord-paris-3,Le Bistro du Périgord,https://s3-media2.fl.yelpcdn.com/bphoto/-F16XJgdbebwOdTMz6XVPQ/o.jpg,False,https://www.yelp.com/biz/le-bistro-du-p%C3%A9rigord-paris-3?adjust_creative=lWGeH-LEHLA63JYPiK7UGw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lWGeH-LEHLA63JYPiK7UGw,366,"[{'alias': 'bistros', 'title': 'Bistros'}]",4.5,"{'latitude': 48.8498092201519, 'longitude': 2.34515282327701}",[],€€€,"{'address1': '71 rue Saint-Jacques', 'address2': '', 'address3': '', 'city': 'Paris', 'zip_code': '75005', 'country': 'FR', 'state': '75', 'display_address': ['71 rue Saint-Jacques', '75005 Paris', 'France']}",+33143296749,+33 1 43 29 67 49,1368.720540444579
